"","country","year","per_capita","m_xpense","gdp_share","r_average","per_capita_growth","m_xpense_growth","gdp_share_growth","r_average_growth"
"33","UK",1998,630,36866,0.022707914247359,36270.5,3.10965630114566,3.33847231955151,-2.16626285155116,3.38483025966993
"34","UK",1999,621,36453,0.0220624164589872,36659.5,-1.42857142857143,-1.12027342266587,-2.84261152891614,1.07249693276905
"35","UK",2000,598,35255,0.0215577737419081,35854,-3.7037037037037,-3.28642361396867,-2.28734108984477,-2.19724764385766
"36","UK",2001,597,35332,0.021902594650068,35293.5,-0.167224080267559,0.218408736349454,1.59952002599244,-1.56328443130474
"37","UK",2002,668,39660,0.0225657313508185,37496,11.892797319933,12.2495188497679,3.02766275569265,6.24052587586949
"38","UK",2003,788,46943,0.0231407888774509,43301.5,17.9640718562874,18.363590519415,2.54836644863079,15.4829848517175
"39","UK",2004,901,53970,0.0225903037381387,50456.5,14.3401015228426,14.9692179877724,-2.37885208765987,16.5236770088796
"40","UK",2005,915,55152,0.0219892682410543,54561,1.55382907880133,2.19010561423013,-2.66059059697244,8.13472991586812
"41","UK",2006,945,57483,0.0214621500861474,56317.5,3.27868852459016,4.22650130548303,-2.39716096565095,3.21933249024028
"42","UK",2007,1074,65986,0.0215417175629862,61734.5,13.6507936507937,14.7921994328758,0.370733950323814,9.61867980645448
"43","UK",2008,1057,65619,0.0228190534517456,65802.5,-1.5828677839851,-0.556178583335859,5.92959166336001,6.58950829762937
"44","UK",2009,923,57915,0.0244669319803957,61767,-12.6773888363292,-11.7405019887533,7.22150255765306,-6.13274571634816
"45","UK",2010,917,58083,0.0239055378300843,57999,-0.650054171180932,0.29008029008029,-2.29450161859742,-6.10034484433435
"46","UK",2011,945,60270,0.02310253065516,59176.5,3.05343511450382,3.765301379061,-3.35908432862692,2.03020741736927
"47","UK",2012,910,58496,0.0221071804680952,59383,-3.7037037037037,-2.9434212709474,-4.30840327374491,0.348956088988027
"48","UK",2013,880,56862,0.0209088431979756,57679,-3.2967032967033,-2.7933533916849,-5.4205793988474,-2.86950810838119
"49","UK",2014,910,59183,0.0197213412492867,58022.5,3.40909090909091,4.08181210650346,-5.6794244303476,0.595537370620156
"50","UK",2015,824,53862,0.018825752357274,56522.5,-9.45054945054945,-8.99075748103341,-4.54121695219431,-2.58520401568357
"51","UK",2016,731,48119,0.0183868167084872,50990.5,-11.2864077669903,-10.6624336266756,-2.33157028976419,-9.78725286390375
"52","UK",2017,713,47193,0.0183483677072318,47656,-2.46238030095759,-1.92439576882313,-0.2091117884351,-6.53945342759926
"53","USA",1992,1185,305141,0.0466626397320814,NA,NA,NA,NA,NA
"54","USA",1993,1145,297637,0.0432693677584427,301389,-3.37552742616034,-2.45919099694895,-7.27192459132515,NA
"55","USA",1994,1096,288059,0.0394127876510001,292848,-4.27947598253275,-3.21801388940219,-8.91295691902069,-2.83387913958373
"56","USA",1995,1050,278856,0.0363847027048186,283457.5,-4.1970802919708,-3.19483161435678,-7.68300119492992,-3.20661230399388
"57","USA",1996,1010,271417,0.0335074442606355,275136.5,-3.80952380952381,-2.66768511346358,-7.90787949409845,-2.93553707345898
"58","USA",1997,1015,276325,0.0320990881105884,273871,0.495049504950495,1.80828761647207,-4.20311420677853,-0.459953513983059
"59","USA",1998,995,274278,0.0301762531355895,275301.5,-1.97044334975369,-0.740794354473899,-5.99031028038645,0.522326204673003
"60","USA",1999,1008,280969,0.029084011345051,277623.5,1.30653266331658,2.43949569414973,-3.61954078801878,0.843438920601595
"61","USA",2000,1070,301697,0.0293342602675793,291333,6.15079365079365,7.37732632425641,0.860434688872075,4.93816265553889
"62","USA",2001,1098,312743,0.0294435029844283,307220,2.61682242990654,3.66128930682108,0.37240658483434,5.45320990069783
"63","USA",2002,1241,356720,0.0324955590981553,334731.5,13.023679417122,14.0617056177117,10.3658050312193,8.95498339951826
"64","USA",2003,1432,415223,0.0360727844527266,385971.5,15.3908138597905,16.4002579053599,11.0083514604749,15.3077914686846
